id,region_id,area_id,city_id,street_id,shortname_region,formalname_region,shortname_area,formalname_area,shortname_city,formalname_city,shortname_street,formalname_street,house_number,building,block,letter,address,houseguid,management_organization_id,built_year,exploitation_start_year,project_type,house_type,is_alarm,method_of_forming_overhaul_fund,floor_count_max,floor_count_min,entrance_count,elevators_count,energy_efficiency,quarters_count,living_quarters_count,unliving_quarters_count,area_total,area_residential,area_non_residential,area_common_property,area_land,parking_square,playground,sportsground,other_beautification,foundation_type,floor_type,wall_material,basement_area,chute_type,chute_count,electrical_type,electrical_entries_count,heating_type,hot_water_type,cold_water_type,sewerage_type,sewerage_cesspools_volume,gas_type,ventilation_type,firefighting_type,drainage_type,lon,lat
9375487,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,4,,,,"обл. Тульская, г. Тула, д. 4",374e4119-42d4-06cf-a0f7-050fc193a0fd,,,,,Не заполнено,Нет,Не заполнено,,,,,Не заполнено,0,,,,,,,,,498,498,,Не заполнено,Не заполнено,Не заполнено,,Не заполнено,,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,37.57685,54.17845
8200202,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,№49,общ.,вг 54,,"обл. Тульская, г. Тула, д. №49, к. вг 54, стр. общ.",96a439f2-eb07-d13b-e029-1763459eafb3,,1953.0,1953.0,-,Многоквартирный дом,Нет,Не определен,2.0,2.0,1.0,0.0,Не присвоен,13,13.0,0.0,"653,80","243,70","0,00","410,10","364,06","0,00",500,500,-,Ленточный,Смешанные,Кирпич,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,"0,00",Отсутствует,Приточно-вытяжная вентиляция,Отсутствует,Отсутствует,37.61874,54.19407
8200199,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,№85,общ.,вг 54,,"обл. Тульская, г. Тула, д. №85, к. вг 54, стр. общ.",4491dd42-c7a0-af6e-b0e6-dcb59742a390,,1959.0,1959.0,-,Многоквартирный дом,Нет,Не определен,2.0,2.0,1.0,0.0,Не присвоен,16,16.0,0.0,"287,80","235,50","0,00","52,30","168,89","0,00",500,500,-,Ленточный,Железобетонные,Кирпич,"100,00",Отсутствует,0.0,Центральное,1.0,Центральное,Квартирное (квартирный котел),Центральное,Центральное,"0,00",Отсутствует,Приточно-вытяжная вентиляция,Отсутствует,Отсутствует,37.61874,54.19407
8200197,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,№106,общ.,вг 54,,"обл. Тульская, г. Тула, д. №106, к. вг 54, стр. общ.",3f80e16f-d0f0-ea9c-8fcc-7c4a8cb5d227,,1964.0,1964.0,-,Многоквартирный дом,Нет,Не определен,1.0,1.0,1.0,0.0,Не присвоен,13,13.0,0.0,"358,00","266,50","0,00","91,50","396,84","0,00",500,500,-,Иной,Железобетонные,Кирпич,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Приточно-вытяжная вентиляция,Отсутствует,Наружные водостоки,37.61874,54.19407
8200213,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,№141,общ.,вг 54,,"обл. Тульская, г. Тула, д. №141, к. вг 54, стр. общ.",b60a9727-0b5a-6587-19cd-63616eba838f,,1990.0,1990.0,-,Многоквартирный дом,Нет,Не определен,1.0,1.0,1.0,0.0,Не присвоен,18,18.0,0.0,"516,00","271,33","0,00","244,67","562,43","0,00",500,500,-,Иной,Деревянные,Смешанные,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,37.61874,54.19407
8200220,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,№142,общ.,вг 54,,"обл. Тульская, г. Тула, д. №142, к. вг 54, стр. общ.",8a0028b4-92b5-cea2-ea4a-cb9849a4b03f,,1990.0,1990.0,-,Многоквартирный дом,Нет,Не определен,1.0,1.0,1.0,0.0,Не присвоен,18,18.0,0.0,"516,00","271,33","0,00","244,67","562,43","0,00",500,500,-,Иной,Деревянные,Смешанные,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,37.61874,54.19407
8200227,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,№143,общ.,вг 54,,"обл. Тульская, г. Тула, д. №143, к. вг 54, стр. общ.",f086803c-14bb-fc5e-ef07-9c7cb77013d4,,1990.0,1990.0,-,Многоквартирный дом,Нет,Не определен,1.0,1.0,1.0,0.0,Не присвоен,18,18.0,0.0,"516,00","271,33","0,00","244,67","562,43","0,00",500,500,-,Иной,Деревянные,Смешанные,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,37.61874,54.19407
8200231,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,№144,общ.,вг 54,,"обл. Тульская, г. Тула, д. №144, к. вг 54, стр. общ.",b28e0173-394e-dc03-0abd-7fa76c19ecd2,,1990.0,1990.0,-,Многоквартирный дом,Нет,Не определен,1.0,1.0,1.0,0.0,Не присвоен,18,18.0,0.0,"516,00","271,33","0,00","244,67","562,43","0,00",500,500,-,Иной,Деревянные,Смешанные,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,37.61874,54.19407
8200236,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,№148,общ.,вг 54,,"обл. Тульская, г. Тула, д. №148, к. вг 54, стр. общ.",6a3d56b1-c240-8a69-7b75-94df5b135510,,1990.0,1990.0,-,Многоквартирный дом,Нет,Не определен,1.0,1.0,1.0,0.0,Не присвоен,13,13.0,0.0,"697,00","400,80","0,00","296,20","750,80","0,00",500,500,-,Иной,Деревянные,Смешанные,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,37.61874,54.19407
8200207,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,№150,общ.,вг 54,,"обл. Тульская, г. Тула, д. №150, к. вг 54, стр. общ.",9eaf7d44-270b-02d9-4a5f-5b1397e24515,8922890.0,1990.0,1990.0,-,Многоквартирный дом,Нет,Не определен,1.0,1.0,1.0,0.0,Не присвоен,18,18.0,0.0,"516,00","271,33","0,00","244,67","562,43","0,00",500,500,-,Бетонные столбы,Деревянные,Смешанные,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,,
